age,job,credit_amount,duration,housing,purpose,sex,default
56,2,13380,27,free,business,female,0
69,2,5733,33,rent,car,female,0
46,2,10016,10,rent,education,female,0
32,3,15059,38,rent,furniture,female,0
60,0,17201,58,rent,business,male,0
25,2,2896,17,own,education,male,1
38,0,19046,13,own,car,female,0
56,3,19629,19,free,other,female,0
36,1,2091,57,free,other,male,1
40,2,11803,47,rent,car,male,0
28,0,6683,48,own,car,female,0
28,0,1812,59,rent,other,female,0
41,2,7814,60,free,education,female,0
53,1,19267,24,free,other,female,1
57,1,2639,71,rent,car,female,0
41,1,15188,53,free,business,male,0
20,3,18588,36,rent,furniture,female,0
39,0,7424,10,own,business,male,0
19,0,862,18,rent,business,male,1
41,0,19488,35,own,car,male,1
61,3,13981,23,own,other,female,0
47,0,4238,18,free,education,male,0
55,3,2969,51,free,business,male,0
19,1,16606,24,free,other,male,1
38,2,17440,45,rent,education,male,0
50,0,9517,29,rent,business,female,0
29,0,3308,17,free,education,female,0
39,1,16870,60,rent,other,male,0
61,2,15370,40,free,furniture,male,0
42,3,13213,61,rent,other,female,0
66,2,8061,24,own,car,female,0
44,1,3219,6,own,education,female,0
59,1,12200,40,free,furniture,male,0
45,2,4241,52,rent,education,female,1
33,3,10266,22,rent,education,male,0
32,3,4498,15,own,business,male,0
64,0,19287,64,own,car,female,0
68,3,16577,44,free,education,male,0
61,2,794,36,own,other,female,0
69,1,10677,53,free,other,male,1
20,0,10382,71,own,business,female,0
54,0,1636,36,own,car,male,1
68,1,2564,27,rent,car,male,0
24,3,7509,64,own,other,female,0
38,1,13487,64,own,furniture,female,0
26,3,5043,31,free,business,female,0
56,1,1507,61,own,business,female,1
35,2,5945,46,free,other,male,1
21,3,11206,44,own,other,female,1
42,2,15249,42,own,furniture,female,1
31,0,12218,52,free,furniture,male,1
67,1,9939,20,rent,car,female,0
26,0,13781,68,free,business,female,0
43,0,1935,8,free,business,male,0
19,0,1071,5,free,other,female,0
37,0,2882,25,rent,car,female,1
45,1,5584,60,own,business,female,0
64,0,17161,69,free,car,female,0
24,1,14007,19,free,car,female,0
61,1,7559,54,rent,other,female,0
25,2,18771,42,free,car,male,0
64,3,13271,43,own,furniture,female,0
52,3,18149,41,rent,furniture,male,0
31,1,7991,63,own,education,male,0
34,2,15027,62,own,other,male,0
53,1,17924,13,rent,education,male,0
67,1,15359,67,free,furniture,female,0
57,1,8573,66,own,education,female,0
21,2,9577,52,own,other,female,0
19,3,19636,67,own,other,male,0
23,2,11883,35,own,car,female,0
59,0,16878,10,rent,business,female,0
21,2,2853,24,rent,car,female,0
46,2,5299,23,own,other,male,0
35,2,17570,29,free,furniture,male,0
43,2,12439,71,own,furniture,female,1
61,3,2928,18,free,car,male,0
51,0,11796,17,own,other,male,1
27,3,8313,30,free,furniture,female,0
53,3,14914,43,own,other,male,0
31,2,12301,61,free,furniture,male,0
48,1,12245,31,own,other,female,0
65,1,13525,29,own,education,male,0
32,3,3856,66,free,other,male,0
25,3,14788,69,rent,other,male,0
31,2,7040,28,free,car,male,0
40,3,16922,6,rent,education,male,0
57,2,3842,47,own,business,male,0
38,1,9578,45,free,car,male,0
33,1,3344,9,free,business,male,0
62,0,10896,42,free,furniture,female,1
35,1,17982,55,rent,business,female,1
64,3,18707,26,rent,other,female,1
41,1,14498,53,own,business,female,0
43,2,13761,46,rent,car,male,1
42,1,3593,22,rent,car,female,1
62,0,12222,54,own,business,female,0
58,1,19780,14,free,car,male,0
46,2,12145,15,free,car,male,1
32,2,15583,11,own,business,male,0
62,3,1488,27,free,education,male,0
18,1,6946,44,rent,education,male,0
42,2,16835,39,own,furniture,female,0
24,0,16633,58,own,car,male,1
26,3,2182,12,own,business,female,0
41,0,6126,50,free,car,female,0
18,1,7924,18,own,other,male,0
61,1,13357,51,own,car,female,0
25,1,12655,45,own,car,female,0
41,3,17817,63,free,education,male,0
28,2,11925,15,rent,business,female,1
68,3,2480,5,own,car,female,0
34,0,16022,10,rent,education,female,0
25,3,19940,6,free,furniture,male,0
52,0,9484,6,free,education,male,0
52,3,17675,30,free,education,male,1
50,2,16383,43,free,education,female,1
22,0,5890,36,rent,car,male,1
59,1,19139,4,own,car,female,0
56,1,2107,11,free,furniture,male,0
58,3,7073,35,free,other,female,0
45,1,17868,51,rent,other,male,0
24,0,6276,7,rent,other,male,1
26,1,4176,22,free,furniture,female,1
25,2,3880,35,own,other,male,1
29,2,9211,12,own,other,female,1
51,3,9282,15,free,education,male,1
50,0,17934,14,rent,car,male,0
65,2,14497,49,free,car,female,0
40,2,6842,19,free,education,female,0
41,0,17843,4,rent,education,female,0
54,1,6559,66,free,education,male,0
52,1,9384,24,free,car,female,0
61,3,6155,33,free,other,male,1
57,1,12591,16,rent,education,female,0
39,0,19830,37,own,furniture,female,1
44,2,15751,7,own,education,female,1
52,1,1026,31,rent,business,female,0
18,3,3724,62,own,education,female,0
52,1,15569,30,free,car,female,0
54,0,12036,28,own,education,male,1
64,3,14047,6,free,business,female,1
31,1,18759,71,own,furniture,male,1
20,3,2263,28,rent,other,female,0
18,0,9212,23,own,education,female,0
22,2,6297,37,own,business,female,0
43,0,9708,29,own,business,male,1
31,0,5609,8,rent,furniture,male,0
56,0,17000,64,own,car,female,0
44,0,2933,12,rent,education,male,0
26,2,17467,53,free,business,female,0
32,2,4667,9,own,furniture,female,0
32,3,18273,63,rent,other,male,0
43,1,8857,47,rent,business,male,0
59,2,6654,14,own,furniture,male,0
30,2,9420,69,free,car,male,1
68,1,18927,50,rent,car,female,1
49,2,17662,6,own,business,male,0
56,0,713,33,free,business,male,1
66,0,4262,24,rent,education,female,0
69,1,13899,31,rent,furniture,male,0
49,3,10268,65,free,business,male,1
21,3,11140,36,free,education,male,1
47,1,7231,38,own,education,male,1
54,1,6291,55,own,business,female,0
40,0,16322,37,rent,car,female,0
56,3,9283,44,free,furniture,male,1
62,2,14121,54,free,furniture,male,0
32,0,16519,50,free,car,female,0
60,1,3220,61,rent,business,male,1
46,3,9405,60,free,furniture,male,1
53,2,9627,26,free,business,male,1
30,2,16885,51,rent,business,male,0
49,0,6868,25,own,education,male,1
24,3,14556,20,own,car,male,0
68,3,12736,14,rent,business,male,0
39,1,18833,18,free,other,male,0
45,3,14951,38,rent,car,male,0
19,3,17801,36,own,furniture,female,0
59,0,10933,19,own,education,female,0
62,3,16025,37,rent,furniture,female,0
23,2,589,69,rent,furniture,male,0
45,0,18593,43,own,car,male,0
45,0,10861,31,rent,furniture,female,0
61,1,16869,50,own,business,male,0
61,3,3541,42,rent,furniture,female,1
37,1,605,23,rent,education,male,1
47,2,9578,4,rent,education,female,0
28,0,18779,66,own,other,female,1
45,0,6590,70,rent,education,female,0
42,0,6582,7,own,furniture,male,0
